"source","target","sectionspeed"
"FR0000001271","FR0000002715","110.0"
"FR0000003520","FR0000001004","120.0"
"FR0000005748","FR0000005173","140.0"
"FR0000001870","FR0000004983","110.0"
"FR0000004009","FR0000003520","140.0"
"FR0000001004","FR0000001853","130.0"
"FR0000010255","FR0000001271","110.0"
"FR0000009389","FR0000001870","110.0"
"FR0000006951","FR0000005748","140.0"
"FR0000002932","FR0000006951","140.0"
"FR0000007536","FR0000002932","140.0"
"FR0000005173","FR0000010520","140.0"
"FR0000002715","FR0000009389","110.0"
"FR0000004028","FR0000004009","140.0"
"FR0000002524","FR0000005561","110.0"
"FR0000004468","FR0000010255","110.0"
"FR0000000873","FR0000004028","140.0"
"FR9900004656","FR0000004428","40.0"
"FR0000010899","FR0000004120","60.0"
"FR0000004428","FR9900003532","30.0"
"FR9900003532","FR0000010899","60.0"
"FR0000006233","FR9900002109","60.0"
"FR0000006214","FR0000006233","60.0"
"FR0000004120","FR0000002587","60.0"
"FR0000001271","FR0000003518","60.0"
"FR0000005660","FR0000010397","60.0"
"FR0000015457","FR9900004655","60.0"
"FR0000003518","FR0000005660","60.0"
"FR0000002951","FR0000015457","30.0"
"FR0000010397","FR0000002951","60.0"
"FR0000002587","FR0000002477","60.0"
"FR0000005600","FR0000000381","60.0"
"FR0000007246","FR0000006214","60.0"
"FR0000002477","FR0000007246","60.0"
"FR9900002109","FR0000005600","60.0"
"FR0000000156","FR0000005802","80.0"
"FR0000009542","FR0000006910","115.0"
"FR0000006562","FR0000022996","115.0"
"FR0000012742","FR0000004001","115.0"
"FR0000022996","FR0000003061","115.0"
"FR0000004253","FR0000000156","80.0"
"FR0000002623","FR0000006480","150.0"
"FR0000005802","FR0000004652","80.0"
"FR0000010593","FR0000016202","40.0"
"FR0000004235","FR0000012742","115.0"
"FR0000006480","FR0000008153","160.0"
"FR0000008566","FR0000004253","80.0"
"FR0000009236","FR0000006304","115.0"
"FR0000012101","FR0000009236","115.0"
"FR0000002605","FR0000012101","115.0"
"FR0000006910","FR0000002605","115.0"
"FR0000010313","FR0000000122","115.0"
"FR0000001013","FR0000003410","115.0"
"FR0000004001","FR0000009542","115.0"
"FR0000011507","FR0000005160","160.0"
"FR0000002376","FR0000011507","160.0"
"FR0000009537","FR0000001013","115.0"
"FR0000003061","FR0000009537","115.0"
"FR0000008153","FR0000002376","160.0"
"FR0000003868","FR0000008566","80.0"
"FR0000001909","FR0000003868","75.0"
"FR0000007390","FR0000004235","115.0"
"FR0000006304","FR0000005613","115.0"
"FR0000004652","FR0000010593","40.0"
"FR0000003910","FR0000006562","115.0"
"FR0000006767","FR0000000079","160.0"
"FR0000004886","FR0000002623","140.0"
"FR0000004355","FR0000007390","115.0"
"FR0000000172","FR0000004269","150.0"
"FR0000006202","FR0000007915","115.0"
"FR0000010659","FR0000002657","160.0"
"FR0000006087","FR0000014546","115.0"
"FR0000014546","FR0000003910","115.0"
"FR0000005613","FR0000006202","115.0"
"FR0000004527","FR0000005061","160.0"
"FR0000002657","FR0000006087","115.0"
"FR0000007915","FR0000000764","115.0"
"FR9900004644","FR0000006767","160.0"
"FR0000000764","FR0000011120","115.0"
"FR0000004269","FR0000004886","140.0"
"FR0000000079","FR0000001853","160.0"
"FR0000013479","FR0000003151","115.0"
"FR0000002671","FR0000004355","115.0"
"FR0000002262","FR0000010313","115.0"
"FR0000005160","FR0000004106","160.0"
"FR0000004749","FR0000013479","115.0"
"FR0000001853","FR0000005850","160.0"
"FR0000005850","FR0000008723","160.0"
"FR0000008723","FR0000008708","160.0"
"FR0000011120","FR0000004749","115.0"
"FR0000004799","FR0000004527","160.0"
"FR0000004106","FR0000004799","160.0"
"FR0000008708","FR0000010659","160.0"
"FR0000002149","FR9900004644","160.0"
"FR0000003151","FR0000002262","115.0"
"FR0000003410","FR0000002671","115.0"
"FR0000005061","FR0000002149","160.0"
"FR0000001865","FR0000002696","90.0"
"FR0000004926","FR9900001051","80.0"
"FR0000002015","FR0000004926","80.0"
"FR0000005987","FR0000002015","80.0"
"FR0000002696","FR0000005987","90.0"
"FR0000003745","FR0000004637","90.0"
"FR0000003009","FR0000001054","90.0"
"FR0000005050","FR0000007957","120.0"
"FR0000000892","FR0000004026","120.0"
"FR0000003489","FR0000002305","120.0"
"FR0000004637","FR0000003009","90.0"
"FR0000004368","FR0000003489","120.0"
"FR0000003880","FR0000003745","90.0"
"FR0000002305","FR0000004440","120.0"
"FR0000003467","FR0000007384","120.0"
"FR0000007957","FR0000009395","120.0"
"FR0000009395","FR0000003823","120.0"
"FR0000003823","FR0000015450","90.0"
"FR0000004026","FR0000003467","120.0"
"FR0000002714","FR0000005050","120.0"
"FR0000009378","FR0000003880","90.0"
"FR0000015450","FR0000009378","90.0"
"FR0000007384","FR0000004368","120.0"
"FR0000005664","FR0000002714","120.0"
"FR0000004440","FR0000005664","120.0"
"FR0000004388","FR0000001366","80.0"
"FR0000006465","FR0000012974","100.0"
"FR0000008658","FR0000004602","80.0"
"FR0000002150","FR0000004789","60.0"
"FR0000012974","FR0000004736","100.0"
"FR0000001013","FR0000002528","105.0"
"FR0000003279","FR0000008296","90.0"
"FR0000001054","FR0000008658","80.0"
"FR0000004736","FR0000006256","100.0"
"FR0000005216","FR0000006465","70.0"
"FR0000004789","FR0000000039","100.0"
"FR0000008671","FR0000011194","60.0"
"FR0000002298","FR0000008671","60.0"
"FR0000002628","FR0000004388","80.0"
"FR0000011194","FR0000002150","60.0"
"FR0000001865","FR0000002917","83.33333333333333"
"FR0000003060","FR0000003279","80.0"
"FR0000008296","FR0000004013","90.0"
"FR0000006816","FR0000002628","80.0"
"FR0000004740","FR0000001865","100.0"
"FR0000009923","FR0000004740","100.0"
"FR0000004013","FR0000001054","90.0"
"FR0000002528","FR0000003060","105.0"
"FR0000004602","FR0000009923","80.0"
"FR0000001366","FR0000007562","80.0"
"FR0000007562","FR0000005216","80.0"
"FR0000002917","FR0000006816","60.0"
"FR0000006256","FR0000002298","60.0"
"FR0000001976","FR0000016024","30.0"
"FR0000005460","FR0000000658","155.0"
"FR0000000658","FR0000001988","155.0"
"FR0000009137","FR0000003297","150.0"
"FR0000008010","FR0000004406","155.0"
"FR0000002768","FR0000005904","160.0"
"FR0000001988","FR0000007533","155.0"
"FR9900001301","FR0000007942","145.0"
"FR0000003297","FR0000015111","145.0"
"FR0000006737","FR0000000039","145.0"
"FR0000005798","FR0000002968","150.0"
"FR0000005556","FR0000009534","160.0"
"FR0000000552","FR0000001178","160.0"
"FR0000008115","FR0000013744","160.0"
"FR0000002200","FR0000002125","160.0"
"FR0000006572","FR0000000552","160.0"
"FR0000001607","FR9900001301","145.0"
"FR0000000039","FR0000001607","145.0"
"FR0000002705","FR0000006500","160.0"
"FR0000000668","FR0000005798","150.0"
"FR0000009534","FR0000007870","160.0"
"FR0000007870","FR0000002675","160.0"
"FR0000004406","FR0000005556","155.0"
"FR0000015111","FR0000006737","145.0"
"FR0000007942","FR0000004977","150.0"
"FR0000000754","FR0000010587","150.0"
"FR0000010587","FR0000003112","145.0"
"FR0000006500","FR0000001049","150.0"
"FR0000002968","FR0000000754","150.0"
"FR0000005235","FR0000007895","160.0"
"FR0000015634","FR0000002768","160.0"
"FR0000002675","FR0000015634","160.0"
"FR0000008304","FR0000000668","135.0"
"FR0000001049","FR0000005460","155.0"
"FR0000009421","FR0000006996","125.0"
"FR0000007533","FR0000007847","155.0"
"FR0000001178","FR0000003618","116.66666666666666"
"FR0000011938","FR0000005707","155.0"
"FR0000011936","FR0000011938","155.0"
"FR0000007747","FR0000011167","160.0"
"FR0000005342","FR0000009285","155.0"
"FR0000013385","FR0000003264","160.0"
"FR0000001385","FR0000005342","155.0"
"FR0000005707","FR0000001385","155.0"
"FR0000006442","FR0000005702","86.0"
"FR0000006266","FR9900001366","150.0"
"FR0000003307","FR0000011936","155.0"
"FR0000000759","FR0000006266","145.0"
"FR0000005702","FR0000003435","97.5"
"FR0000004146","FR0000000759","145.0"
"FR0000002387","FR0000012773","150.0"
"FR0000003435","FR0000008567","97.5"
"FR0000009285","FR0000009950","155.0"
"FR0000010193","FR0000006442","116.66666666666666"
"FR0000007412","FR0000002387","150.0"
"FR0000000227","FR0000005514","116.66666666666666"
"FR0000009952","FR0000000227","116.66666666666666"
"FR0000006887","FR0000007412","160.0"
"FR0000001230","FR0000006887","160.0"
"FR0000001908","FR0000009952","155.0"
"FR0000007895","FR0000004214","160.0"
"FR0000005514","FR0000010193","116.66666666666666"
"FR0000011939","FR0000001908","155.0"
"FR0000011167","FR0000001230","160.0"
"FR0000004214","FR0000000289","160.0"
"FR0000000289","FR0000013450","160.0"
"FR0000013450","FR0000008393","160.0"
"FR0000003618","FR0000005482","160.0"
"FR0000009950","FR0000011939","155.0"
"FR0000005904","FR0000005810","160.0"
"FR0000007613","FR0000004146","145.0"
"FR0000010453","FR0000014348","97.5"
"FR0000003241","FR0000001030","120.0"
"FR0000006089","FR0000000453","141.66666666666666"
"FR0000001030","FR0000012221","120.0"
"FR0000005782","FR0000006089","160.0"
"FR0000005213","FR0000013385","160.0"
"FR0000002769","FR0000004454","150.0"
"FR0000005482","FR0000003970","160.0"
"FR0000008782","FR0000005782","160.0"
"FR0000012221","FR0000008304","135.0"
"FR0000003598","FR0000008782","160.0"
"FR0000007847","FR0000005213","155.0"
"FR9900001366","FR0000006322","150.0"
"FR0000003970","FR0000003983","160.0"
"FR0000004410","FR0000009421","120.0"
"FR0000005810","FR0000004410","160.0"
"FR0000006996","FR0000003241","120.0"
"FR0000008567","FR0000010453","97.5"
"FR0000009025","FR0000005614","160.0"
"FR0000005614","FR0000008381","160.0"
"FR0000010456","FR0000009364","86.0"
"FR0000009364","FR0000010455","97.5"
"FR0000010455","FR9900003527","97.5"
"FR9900003527","FR0000003604","97.5"
"FR0000014348","FR0000010456","86.0"
"FR0000000453","FR0000006572","160.0"
"FR0000003604","FR0000002769","150.0"
"FR0000008393","FR0000004678","160.0"
"FR0000004678","FR0000001393","160.0"
"FR0000012773","FR0000006163","150.0"
"FR0000002894","FR0000007613","140.0"
"FR0000001393","FR0000014116","160.0"
"FR0000009214","FR0000002894","140.0"
"FR0000004116","FR0000009214","150.0"
"FR0000008381","FR0000004116","160.0"
"FR0000014116","FR0000007747","160.0"
"FR0000013744","FR0000002705","160.0"
"FR9900000753","FR0000001728","160.0"
"FR0000002306","FR0000007219","160.0"
"FR0000002642","FR0000002615","160.0"
"FR0000007518","FR0000002427","160.0"
"FR0000006181","FR0000005225","160.0"
"FR0000000536","FR0000003598","160.0"
"FR0000007219","FR0000002626","160.0"
"FR0000012040","FR0000000536","160.0"
"FR0000007203","FR0000009356","160.0"
"FR0000002707","FR0000007203","160.0"
"FR0000004422","FR0000005062","136.66666666666666"
"FR9900003523","FR0000002707","160.0"
"FR0000009356","FR0000003000","160.0"
"FR0000007341","FR0000004422","136.66666666666666"
"FR0000005923","FR0000007497","160.0"
"FR0000007481","FR0000005973","160.0"
"FR0000006163","FR9900003576","157.5"
"FR0000007497","FR0000009050","160.0"
"FR0000008483","FR9900001964","136.66666666666666"
"FR0000002845","FR9900000753","140.0"
"FR0000001728","FR0000022946","160.0"
"FR9900001964","FR0000002954","136.66666666666666"
"FR0000004977","FR0000008010","150.0"
"FR0000002954","FR0000002882","136.66666666666666"
"FR0000003000","FR0000007905","160.0"
"FR0000002882","FR0000007341","136.66666666666666"
"FR0000002958","FR0000004471","160.0"
"FR0000004737","FR0000002285","160.0"
"FR0000009050","FR0000002337","160.0"
"FR0000005973","FR0000007518","160.0"
"FR0000006862","FR9900001368","160.0"
"FR0000003846","FR0000004134","160.0"
"FR9900001188","FR0000006746","155.0"
"FR0000006746","FR0000001696","155.0"
"FR9900001172","FR0000006730","155.0"
"FR0000002615","FR0000001854","160.0"
"FR0000001696","FR9900001172","155.0"
"FR0000006322","FR0000009137","150.0"
"FR0000007602","FR0000002845","140.0"
"FR0000008130","FR0000001091","150.0"
"FR0000003077","FR0000002958","160.0"
"FR0000006730","FR0000007602","140.0"
"FR0000001241","FR9900001188","155.0"
"FR0000003112","FR0000008130","140.0"
"FR0000004751","FR0000006702","160.0"
"FR0000001813","FR0000006862","160.0"
"FR0000008881","FR0000002306","160.0"
"FR0000001854","FR0000008881","160.0"
"FR0000011068","FR0000008894","125.0"
"FR0000004134","FR9900003523","160.0"
"FR0000005225","FR0000011088","160.0"
"FR0000008449","FR0000001813","160.0"
"FR0000011088","FR0000003077","160.0"
"FR0000002139","FR0000004737","160.0"
"FR0000005062","FR0000001241","136.66666666666666"
"FR0000006702","FR0000002674","160.0"
"FR9900001368","FR0000012040","160.0"
"FR0000007905","FR0000004321","160.0"
"FR9900003576","FR0000011068","157.5"
"FR0000009616","FR9900003528","160.0"
"FR0000005341","FR0000012918","160.0"
"FR0000007440","FR0000009025","160.0"
"FR0000003044","FR0000005163","160.0"
"FR0000001581","FR0000007440","160.0"
"FR0000006366","FR0000011346","116.66666666666666"
"FR0000000601","FR0000008115","140.0"
"FR0000005023","FR0000002642","160.0"
"FR0000002626","FR0000002200","160.0"
"FR0000008294","FR0000002041","160.0"
"FR0000011347","FR0000008769","100.0"
"FR0000002041","FR0000004832","160.0"
"FR0000005142","FR0000002139","160.0"
"FR0000005163","FR0000006328","160.0"
"FR0000004832","FR0000013983","160.0"
"FR0000008464","FR9900003975","160.0"
"FR9900003975","FR0000004072","160.0"
"FR0000003264","FR0000008449","160.0"
"FR0000013983","FR0000007421","160.0"
"FR0000006328","FR0000005235","160.0"
"FR0000007421","FR0000000346","160.0"
"FR0000003983","FR0000000436","160.0"
"FR0000000346","FR0000007481","160.0"
"FR0000002674","FR0000008464","160.0"
"FR0000002427","FR0000005341","160.0"
"FR0000004072","FR0000006366","160.0"
"FR0000002125","FR0000005142","160.0"
"FR0000011346","FR0000011347","97.5"
"FR9900003528","FR0000004751","160.0"
"FR0000002804","FR0000003846","160.0"
"FR0000022946","FR0000002804","160.0"
"FR0000008894","FR0000000601","118.33333333333333"
"FR0000004471","FR0000005023","160.0"
"FR0000010758","FR0000001581","160.0"
"FR0000004454","FR0000006181","150.0"
"FR0000002337","FR0000001071","160.0"
"FR0000008769","FR0000008483","112.5"
"FR0000012918","FR0000004893","160.0"
"FR0000001071","FR0000010758","160.0"
"FR0000004321","FR0000003044","160.0"
"FR0000001091","FR0000008294","150.0"
"FR0000004893","FR0000009616","160.0"
"FR0000002285","FR0000005923","160.0"
"FR0000000536","FR9900003755","30.0"
"FR0000000227","FR0000008243","40.0"
"FR0000008243","FR0000015307","40.0"
"FR0000015307","FR0000001638","40.0"
"FR0000001241","FR0000000272","35.0"
"FR0000001854","FR0000005308","30.0"
"FR0000008192","FR9900003773","30.0"
"FR0000005308","FR0000008192","30.0"
"FR9900001184","FR9900001214","30.0"
"FR0000006635","FR0000001837","30.0"
"FR9900003592","FR9900001184","40.0"
"FR9900001224","FR0000006635","30.0"
"FR9900001214","FR9900001224","30.0"
"FR0000000759","FR0000004146","40.0"
"FR0000016588","FR0000002054","30.0"
"FR0000004700","FR0000003802","100.0"
"FR0000002911","FR0000004700","100.0"
"FR0000002864","FR0000008181","120.0"
"FR0000008181","FR0000004938","120.0"
"FR0000004182","FR0000006300","90.0"
"FR0000003802","FR0000006226","60.0"
"FR0000006300","FR0000016094","90.0"
"FR0000006226","FR0000009192","90.0"
"FR0000009192","FR0000002807","90.0"
"FR0000002272","FR0000003152","120.0"
"FR0000002807","FR0000015181","90.0"
"FR0000015181","FR0000004911","90.0"
"FR0000004938","FR0000013828","120.0"
"FR0000004911","FR0000002986","90.0"
"FR0000013828","FR0000003875","100.0"
"FR0000003567","FR0000002272","120.0"
"FR0000003847","FR0000003567","100.0"
"FR0000016428","FR0000003847","70.0"
"FR0000001387","FR0000016428","70.0"
"FR0000003875","FR0000002911","100.0"
"FR0000002986","FR0000002054","90.0"
"FR0000003152","FR0000002864","120.0"
"FR0000007312","FR0000004182","90.0"
"FR0000002054","FR0000007312","90.0"
"FR9900001278","FR0000009604","30.0"
"FR0000005586","FR9900001278","30.0"
"FR0000013815","FR0000007728","30.0"
"FR0000009604","FR0000016018","30.0"
"FR0000011946","FR0000005586","30.0"
"FR0000006793","FR0000011946","30.0"
"FR0000008171","FR0000013815","30.0"
"FR0000007265","FR0000006745","30.0"
"FR0000002968","FR0000013013","20.0"
"FR0000007590","FR0000002968","20.0"
"FR0000000754","FR9900004652","20.0"
"FR0000007728","FR0000013200","30.0"
"FR0000013013","FR0000000754","20.0"
"FR0000006745","FR0000008171","30.0"
"FR0000013200","FR0000006793","30.0"
"FR0000000668","FR0000007590","0.0"
"FR9900004652","FR0000007265","30.0"
"FR0000007031","FR0000002972","160.0"
"FR9900001533","FR0000010878","140.0"
"FR0000006638","FR0000002505","110.0"
"FR0000010878","FR0000008465","140.0"
"FR0000003288","FR0000005788","80.0"
"FR0000008320","FR0000006057","140.0"
"FR0000003743","FR0000009630","95.0"
"FR0000003403","FR9900002044","100.0"
"FR0000011921","FR0000002352","123.33333333333333"
"FR0000005964","FR0000004103","160.0"
"FR0000003419","FR0000003705","160.0"
"FR0000001840","FR0000011921","125.0"
"FR0000008625","FR0000005964","160.0"
"FR0000008725","FR0000006638","110.0"
"FR0000007591","FR0000000056","140.0"
"FR0000004804","FR0000006648","160.0"
"FR0000015764","FR0000002308","80.0"
"FR0000005819","FR0000003419","160.0"
"FR0000006648","FR0000008107","160.0"
"FR0000001912","FR0000009049","100.0"
"FR0000009074","FR0000001123","120.0"
"FR0000002128","FR0000009074","120.0"
"FR0000008495","FR0000006503","100.0"
"FR0000009049","FR0000004729","100.0"
"FR0000005865","FR0000006994","140.0"
"FR0000000056","FR0000008725","140.0"
"FR0000004729","FR0000001662","76.66666666666667"
"FR0000001662","FR0000006588","100.0"
"FR0000004335","FR0000005206","140.0"
"FR0000006019","FR9900001533","140.0"
"FR0000006091","FR0000001208","120.0"
"FR0000006057","FR9900001504","140.0"
"FR0000004348","FR0000001840","120.0"
"FR0000008465","FR0000006516","140.0"
"FR0000006516","FR0000008757","140.0"
"FR0000000302","FR0000003382","140.0"
"FR0000001387","FR0000008495","100.0"
"FR0000011719","FR0000001912","90.0"
"FR0000006751","FR0000000302","140.0"
"FR0000005368","FR0000006751","140.0"
"FR0000003382","FR0000004335","140.0"
"FR9900002044","FR0000001387","100.0"
"FR0000006588","FR0000004874","100.0"
"FR0000011655","FR0000002128","100.0"
"FR0000003171","FR0000015764","80.0"
"FR0000002505","FR0000011719","90.0"
"FR0000001442","FR0000003171","110.0"
"FR0000002575","FR0000006091","110.0"
"FR0000009385","FR0000004348","120.0"
"FR0000012218","FR0000005368","140.0"
"FR0000006775","FR0000000393","120.0"
"FR0000006994","FR0000002276","140.0"
"FR9900001504","FR0000006579","140.0"
"FR0000003343","FR0000003288","80.0"
"FR0000006579","FR0000014018","110.0"
"FR0000014018","FR0000006984","110.0"
"FR0000006984","FR0000009065","110.0"
"FR0000002276","FR0000009488","140.0"
"FR0000004103","FR0000004804","160.0"
"FR0000000393","FR0000009385","120.0"
"FR0000009630","FR0000001442","110.0"
"FR0000008107","FR0000007031","160.0"
"FR0000009488","FR0000012218","140.0"
"FR0000009065","FR0000004416","80.0"
"FR0000007125","FR0000002575","120.0"
"FR0000004874","FR0000011655","100.0"
"FR0000003395","FR0000011539","160.0"
"FR0000005853","FR0000003587","140.0"
"FR0000003871","FR0000006821","80.0"
"FR0000008747","FR0000005939","140.0"
"FR0000005662","FR0000005853","140.0"
"FR0000001954","FR0000005819","160.0"
"FR0000009222","FR0000001954","160.0"
"FR0000002688","FR0000008625","160.0"
"FR0000011539","FR0000009222","160.0"
"FR0000002972","FR0000005865","140.0"
"FR0000006122","FR0000008749","80.0"
"FR0000005939","FR0000004491","140.0"
"FR0000002352","FR0000007125","120.0"
"FR0000005788","FR0000002405","120.0"
"FR0000008665","FR0000005662","140.0"
"FR0000006503","FR0000003395","160.0"
"FR0000008749","FR0000003871","80.0"
"FR0000014592","FR0000008320","140.0"
"FR0000004416","FR9900001265","80.0"
"FR0000004491","FR0000014592","140.0"
"FR0000006821","FR0000014580","80.0"
"FR0000007610","FR0000006122","120.0"
"FR0000016391","FR0000003743","110.0"
"FR0000004690","FR0000003343","80.0"
"FR0000005206","FR0000008665","140.0"
"FR0000001208","FR0000000450","120.0"
"FR0000002308","FR0000004690","90.0"
"FR0000001123","FR0000007610","120.0"
"FR0000001087","FR0000016391","140.0"
"FR0000001529","FR0000006019","120.0"
"FR0000014580","FR0000001087","140.0"
"FR9900001265","FR0000006775","80.0"
"FR0000010573","FR0000001529","120.0"
"FR0000002405","FR0000010573","120.0"
"FR0000003705","FR0000002688","160.0"
"FR0000001728","FR0000003403","100.0"
"FR0000008757","FR0000008747","140.0"
"FR0000003587","FR0000010665","140.0"
"FR0000010665","FR0000007591","140.0"
"FR0000001290","FR0000003272","160.0"
"FR0000000767","FR9900004312","160.0"
"FR0000003272","FR0000000767","160.0"
"FR0000006532","FR0000004325","160.0"
"FR0000002789","FR0000002310","160.0"
"FR0000008224","FR0000006532","160.0"
"FR0000004325","FR0000004557","160.0"
"FR0000009800","FR0000001087","20.0"
"FR0000004557","FR0000002789","160.0"
"FR9900003670","FR0000009800","20.0"
"FR9900004312","FR0000008224","160.0"
"FR0000001837","FR0000016590","20.0"
"FR0000002310","FR0000001837","30.0"
"FR9900000876","FR0000002310","40.0"
"FR0000000214","FR9900003853","30.0"
"FR0000016589","FR9900000876","40.0"
"FR9900004099","FR0000016589","40.0"
"FR0000012586","FR0000004376","100.0"
"FR0000006955","FR0000007275","100.0"
"FR0000009844","FR0000001938","120.0"
"FR0000003309","FR0000009574","160.0"
"FR0000005910","FR0000005263","140.0"
"FR0000022881","FR0000004084","130.0"
"FR0000008768","EU00119","40.0"
"FR0000006496","FR0000006955","100.0"
"FR0000005064","FR0000008768","40.0"
"FR0000003801","FR0000003372","80.0"
"FR0000001938","FR0000022881","125.0"
"FR0000012171","FR0000002591","100.0"
"FR0000000767","FR0000008589","160.0"
"FR0000006825","FR0000003309","160.0"
"FR0000002591","FR0000012586","100.0"
"FR0000005789","FR0000008339","90.0"
"FR0000007275","FR0000012171","100.0"
"FR0000008339","FR0000005064","70.0"
"FR0000003372","FR0000003657","80.0"
"FR0000004173","FR0000005789","80.0"
"FR0000005967","FR0000002404","160.0"
"FR0000004376","FR0000003007","80.0"
"FR0000006433","FR0000005967","160.0"
"FR0000002404","FR0000006825","160.0"
"FR0000005263","FR0000004964","140.0"
"FR0000004964","FR0000009844","120.0"
"FR0000014362","FR0000000450","100.0"
"FR0000003007","FR0000004173","80.0"
"FR0000010730","FR0000005464","160.0"
"FR9900003517","FR9900003822","160.0"
"FR0000015688","FR0000001694","160.0"
"FR9900003332","FR0000005910","160.0"
"FR0000008589","FR9900003517","160.0"
"FR0000001694","FR0000006666","110.0"
"FR0000003307","FR0000001385","160.0"
"FR0000006666","FR0000009251","110.0"
"FR9900001508","FR0000005611","160.0"
"FR0000003323","FR0000015688","160.0"
"FR9900001222","FR9900001508","160.0"
"FR0000001385","FR0000008368","160.0"
"FR0000005033","FR0000010730","160.0"
"FR0000005902","FR0000005033","160.0"
"FR0000003657","FR0000002316","80.0"
"FR0000004956","FR0000015259","160.0"
"FR0000004294","FR0000002321","130.0"
"FR0000000450","FR0000001259","100.0"
"FR0000005611","FR9900003332","160.0"
"FR0000005339","FR0000008577","100.0"
"FR0000005464","FR0000007128","160.0"
"FR0000000008","FR0000002207","160.0"
"FR0000001259","FR0000006496","100.0"
"FR0000007513","FR0000005339","110.0"
"FR0000004084","FR0000004294","130.0"
"FR0000010197","FR0000007513","110.0"
"FR0000009251","FR0000004956","160.0"
"FR0000001638","FR0000000008","160.0"
"FR0000008577","FR0000004339","100.0"
"FR0000015259","FR0000005902","160.0"
"FR9900001767","FR0000010123","160.0"
"FR0000004339","FR0000014362","100.0"
"FR0000015308","FR0000014081","160.0"
"FR0000007128","FR9900001767","160.0"
"FR0000002321","FR0000003801","80.0"
"FR0000002123","FR0000006433","160.0"
"FR0000003272","FR9900003339","160.0"
"FR0000015690","FR0000003323","160.0"
"FR9900003339","FR0000000767","160.0"
"FR0000008368","FR0000015308","160.0"
"FR0000014081","FR0000001638","160.0"
"FR0000009574","FR0000006561","160.0"
"FR0000002207","FR0000002123","160.0"
"FR0000006561","FR0000015690","160.0"
"FR0000002316","FR0000008399","80.0"
"FR0000010123","FR0000001290","160.0"
"FR9900003822","FR9900001222","160.0"
"FR0000008399","FR0000010197","110.0"
"FR0000000214","FR0000001938","130.0"
"FR0000001840","FR0000009157","130.0"
"FR0000009157","FR0000000214","130.0"
"FR0000005065","FR0000002788","100.0"
"FR0000004068","FR0000008373","100.0"
"FR0000002384","FR0000007837","100.0"
"FR0000007837","FR0000013369","100.0"
"FR0000013369","FR0000003551","100.0"
"FR0000001694","FR0000005065","100.0"
"FR0000003551","FR0000013367","100.0"
"FR0000013367","FR0000015952","100.0"
"FR0000008373","FR0000002384","100.0"
"FR0000002788","FR0000004068","100.0"
"FR0000001259","FR0000000241","20.0"
"FR0000008083","FR9900001048","25.0"
"FR0000000241","FR0000008083","22.5"
"FR0000004824","FR0000002132","70.0"
"FR0000003858","FR0000015984","70.0"
"FR0000004625","FR0000004824","70.0"
"FR0000001208","FR0000001863","70.0"
"FR0000007230","FR0000008639","70.0"
"FR0000005195","FR0000003328","70.0"
"FR0000001863","FR0000005195","70.0"
"FR0000004837","FR0000004625","70.0"
"FR0000012527","FR0000007141","70.0"
"FR0000015669","FR0000012527","70.0"
"FR0000004311","FR0000007230","70.0"
"FR0000003607","FR0000015669","70.0"
"FR0000009561","FR0000003607","70.0"
"FR0000002132","FR0000004311","70.0"
"FR0000008639","FR0000009561","70.0"
"FR0000003328","FR0000004837","70.0"
"FR0000007141","FR0000003858","70.0"
"FR0000000393","FR9900003774","30.0"
"FR0000000080","FR0000003130","70.0"
"FR0000016450","FR0000016426","70.0"
"FR0000003304","FR0000003124","85.0"
"FR0000003130","FR0000002354","70.0"
"FR0000016426","FR9900001091","40.0"
"FR0000003124","FR0000000080","85.0"
"FR0000016535","FR0000016450","60.0"
"FR0000016437","FR0000016535","60.0"
"FR0000001529","FR0000002323","85.0"
"FR0000002354","FR0000016437","70.0"
"FR0000002323","FR0000003304","85.0"
"FR0000001662","FR9900003526","30.0"
"FR9900003526","FR0000009124","30.0"
"FR0000009124","FR9900001967","30.0"
"FR0000015095","FR9900001111","30.0"
"FR9900001967","FR0000015095","30.0"
"FR0000001912","FR0000004729","30.0"
"FR0000000056","FR9900003842","60.0"
"FR0000002372","FR0000007462","80.0"
"FR0000009523","FR0000004312","140.0"
"FR0000006894","FR0000009523","140.0"
"FR0000004312","FR0000012083","40.0"
"FR0000005231","FR0000008011","140.0"
"FR0000012344","FR0000002372","80.0"
"FR0000002767","FR0000003337","140.0"
"FR0000015589","FR0000004955","140.0"
"FR0000002304","FR0000015589","140.0"
"FR0000005512","FR0000002304","140.0"
"FR0000002319","FR0000006741","140.0"
"FR0000012083","FR0000007973","80.0"
"FR0000001954","FR0000003559","140.0"
"FR0000006741","FR0000011878","140.0"
"FR0000011878","FR0000005231","140.0"
"FR0000009502","FR0000005512","140.0"
"FR0000008636","FR0000009502","140.0"
"FR0000003114","FR0000008636","140.0"
"FR0000008011","FR0000003114","140.0"
"FR0000007091","FR0000012344","90.0"
"FR0000004955","FR0000002849","140.0"
"FR0000002849","FR0000006894","140.0"
"FR0000003337","FR0000002319","140.0"
"FR0000004607","FR0000015775","80.0"
"FR0000007229","FR0000002180","60.0"
"FR0000002180","FR0000009270","40.0"
"FR0000009270","EU00122","40.0"
"FR0000003702","FR0000004782","60.0"
"FR0000008624","FR0000003702","60.0"
